Year,Month,TotalPrice,Date,TimeIndex,Lag1
2011,1,569445.04,2011-01-01,1,572713.89
2011,2,447137.35,2011-02-01,2,569445.04
2011,3,595500.76,2011-03-01,3,447137.35
2011,4,469200.361,2011-04-01,4,595500.76
2011,5,678594.56,2011-05-01,5,469200.361
2011,6,661213.6900000001,2011-06-01,6,678594.56
2011,7,600091.011,2011-07-01,7,661213.6900000001
2011,8,645343.9,2011-08-01,8,600091.011
2011,9,952838.382,2011-09-01,9,645343.9
2011,10,1039318.79,2011-10-01,10,952838.382
2011,11,1161817.3800000001,2011-11-01,11,1039318.79
2011,12,518192.79,2011-12-01,12,1161817.3800000001
