Date,TotalPrice,TimeIndex,Month,Week,Lag1,Lag2,Lag3,RollingMean
2010-12-26,46109.11,3,12,51,163770.73,213447.72,149386.33,141109.18666666668
2011-01-02,0.0,4,1,52,46109.11,163770.73,213447.72,69959.94666666667
2011-01-09,114865.27,5,1,1,0.0,46109.11,163770.73,53658.12666666667
2011-01-16,154714.94,6,1,2,114865.27,0.0,46109.11,89860.07
2011-01-23,175757.98,7,1,3,154714.94,114865.27,0.0,148446.06333333335
2011-01-30,105288.77,8,1,4,175757.98,154714.94,114865.27,145253.89666666667
2011-02-06,106095.23,9,2,5,105288.77,175757.98,154714.94,129047.32666666666
2011-02-13,88015.42,10,2,6,106095.23,105288.77,175757.98,99799.80666666666
2011-02-20,126050.4,11,2,7,88015.42,106095.23,105288.77,106720.34999999999
2011-02-27,130687.36,12,2,8,126050.4,88015.42,106095.23,114917.72666666667
2011-03-06,117600.82,13,3,9,130687.36,126050.4,88015.42,124779.52666666667
2011-03-13,112338.0,14,3,10,117600.82,130687.36,126050.4,120208.72666666667
2011-03-20,138278.82,15,3,11,112338.0,117600.82,130687.36,122739.21333333333
2011-03-27,129918.43,16,3,12,138278.82,112338.0,117600.82,126845.08333333333
2011-04-03,143977.03,17,4,13,129918.43,138278.82,112338.0,137391.42666666667
2011-04-10,119961.92,18,4,14,143977.03,129918.43,138278.82,131285.79333333333
2011-04-17,135142.201,19,4,15,119961.92,143977.03,129918.43,133027.05033333335
2011-04-24,116090.02,20,4,16,135142.201,119961.92,143977.03,123731.38033333333
2011-05-01,73474.56,21,5,17,116090.02,135142.201,119961.92,108235.59366666667
2011-05-08,131329.18,22,5,18,73474.56,116090.02,135142.201,106964.58666666667
2011-05-15,178850.25,23,5,19,131329.18,73474.56,116090.02,127884.66333333333
2011-05-22,196269.92,24,5,20,178850.25,131329.18,73474.56,168816.44999999998
2011-05-29,146976.9,25,5,21,196269.92,178850.25,131329.18,174032.35666666666
2011-06-05,102371.9,26,6,22,146976.9,196269.92,178850.25,148539.57333333333
2011-06-12,194019.08,27,6,23,102371.9,146976.9,196269.92,147789.29333333333
2011-06-19,171940.3,28,6,24,194019.08,102371.9,146976.9,156110.42666666664
2011-06-26,112818.82,29,6,25,171940.3,194019.08,102371.9,159592.7333333333
2011-07-03,116479.92,30,7,26,112818.82,171940.3,194019.08,133746.34666666668
2011-07-10,131383.74,31,7,27,116479.92,112818.82,171940.3,120227.49333333333
2011-07-17,118297.88,32,7,28,131383.74,116479.92,112818.82,122053.84666666668
2011-07-24,167519.81,33,7,29,118297.88,131383.74,116479.92,139067.14333333334
2011-07-31,164667.901,34,7,30,167519.81,118297.88,131383.74,150161.86366666667
2011-08-07,156185.19,35,8,31,164667.901,167519.81,118297.88,162790.96700000003
2011-08-14,143652.21,36,8,32,156185.19,164667.901,167519.81,154835.10033333334
2011-08-21,168080.69,37,8,33,143652.21,156185.19,164667.901,155972.69666666668
2011-08-28,148051.26,38,8,34,168080.69,143652.21,156185.19,153261.3866666667
2011-09-04,114046.78,39,9,35,148051.26,168080.69,143652.21,143392.91000000003
2011-09-11,167004.06,40,9,36,114046.78,148051.26,168080.69,143034.03333333335
2011-09-18,209167.98,41,9,37,167004.06,114046.78,148051.26,163406.27333333335
2011-09-25,309569.211,42,9,38,209167.98,167004.06,114046.78,228580.41700000002
2011-10-02,194007.851,43,10,39,309569.211,209167.98,167004.06,237581.6806666667
2011-10-09,297116.86,44,10,40,194007.851,309569.211,209167.98,266897.974
2011-10-16,204423.28,45,10,41,297116.86,194007.851,309569.211,231849.33033333335
2011-10-23,255461.64,46,10,42,204423.28,297116.86,194007.851,252333.92666666667
2011-10-30,237685.49,47,10,43,255461.64,204423.28,297116.86,232523.47
2011-11-06,260628.77,48,11,44,237685.49,255461.64,204423.28,251258.63333333333
2011-11-13,264765.98,49,11,45,260628.77,237685.49,255461.64,254360.08
2011-11-20,277773.94,50,11,46,264765.98,260628.77,237685.49,267722.89666666667
2011-11-27,249532.68,51,11,47,277773.94,264765.98,260628.77,264024.2
2011-12-04,251788.22,52,12,48,249532.68,277773.94,264765.98,259698.28000000003
2011-12-11,408569.15,53,12,49,251788.22,249532.68,277773.94,303296.68333333335
